SESSION_ID,USER,FEATURE,DenialCount,DateOnly,MonthYear,IN_TIME,OUT_TIME,DURATION_HOURS,AVERAGE_HOURS_PER_USER
1,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 06:27:26,2024-03-21 08:16:35,1.8191666666666666,149.63319444444443
2,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 09:38:27,2024-03-21 10:13:35,0.5855555555555556,149.63319444444443
3,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 10:15:55,2024-03-21 10:16:20,0.006944444444444444,149.63319444444443
4,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 10:30:29,2024-03-21 10:30:53,0.006666666666666667,149.63319444444443
5,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 10:51:04,2024-03-21 10:54:04,0.05,149.63319444444443
6,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 10:59:56,2024-03-21 11:00:33,0.010277777777777778,149.63319444444443
7,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 11:25:41,2024-03-21 12:10:35,0.7483333333333333,149.63319444444443
8,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 12:10:55,2024-03-21 12:19:07,0.13666666666666666,149.63319444444443
9,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 12:19:28,2024-03-21 12:21:53,0.04027777777777778,149.63319444444443
10,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 12:22:14,2024-03-21 12:23:59,0.029166666666666667,149.63319444444443
11,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 12:24:25,2024-03-21 12:24:59,0.009444444444444445,149.63319444444443
12,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 12:25:25,2024-03-21 12:29:19,0.065,149.63319444444443
13,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 12:29:56,2024-03-21 12:30:15,0.005277777777777778,149.63319444444443
14,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 12:45:50,2024-03-21 12:59:42,0.2311111111111111,149.63319444444443
15,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 12:59:54,2024-03-21 13:02:41,0.04638888888888889,149.63319444444443
16,FMoma,elec_solve_hfss,0,2024-03-21,2024-03,2024-03-21 13:02:54,2024-03-21 13:32:14,0.4888888888888889,149.63319444444443
